idx,name,price,description
1,'Hawaiian',100,'Chicken+pineapple+bakery+mozzarella+sauce'
2,'Carbonara',110,'Bacon+tavern+bakery+marinated+olives+mozzarella'
3,'M`yasna',120,'Bacon+salami+tomato+mozzarella'
4,'Margarita',130,'Tomato+mozzarella+sauce+salami'
5,'Mislivska',140,'Hunting_sausages+salami+salted_cucumber+garlic'
6,'Vegetable_teriyaki',150,'Tomato+mushrooms+bell_pepper+pickles'
7,'Pepperoni',160,'Pepperoni+italian_herbs+mozzarella+signature_sauce'
8,'Francesca',170,'Bacon+salami+mushrooms+tomato+olives+mozzarella'
9,'Four cheeses',180,'Dor_bleu_cheese+gouda_cheese+cream_cheese+mozzarella'
10,'Sharp',200,'Salami+tomatoes+bell_pepper+green_beans+sauce'


